#       r             R(r)          X(r)=rR(r)          Veff
  6.407152e+01   1.598015e-13   1.023873e-11  -3.072792e-02
  6.471545e+01   1.169755e-13   7.570121e-12  -3.042698e-02
  6.536585e+01   8.534997e-14   5.578974e-12  -3.012893e-02
  6.602279e+01   6.207152e-14   4.098135e-12  -2.983375e-02
  6.668633e+01   4.499328e-14   3.000437e-12  -2.954142e-02
  6.735654e+01   3.250534e-14   2.189447e-12  -2.925191e-02
  6.803348e+01   2.340448e-14   1.592288e-12  -2.896519e-02
  6.871723e+01   1.679445e-14   1.154068e-12  -2.868124e-02
  6.940785e+01   1.200993e-14   8.335831e-13  -2.840003e-02
  7.010541e+01   8.558694e-15   6.000108e-13  -2.812153e-02
  7.080998e+01   6.077881e-15   4.303747e-13  -2.784573e-02
  7.152164e+01   4.300898e-15   3.076073e-13  -
